,Titulos,links,data publicação,none
0,MEC lança parâmetros e aplicativo para promover a Internacionalização na Educação Básica brasileira,https://www.gov.br/mec/pt-br/assuntos/noticias/mec-lanca-parametros-e-aplicativo-para-promover-a-internacionalizacao-na-educacao-basica-brasileira,15/12/2022 ,A iniciativa é pioneira e as publicações serão encaminhadas ao Conselho Nacional de Educação (CNE) para elaboração de uma nova resolução sobre o tema 
1,"Ministro da Educação, Victor Godoy, garante que haverá orçamento para executar todas as políticas essenciais",https://www.gov.br/mec/pt-br/assuntos/noticias/ministro-da-educacao-victor-godoy-garante-que-havera-orcamento-para-executar-todas-as-politicas-essenciais,15/12/2022 ,Ministro tem dialogado diuturnamente com o Ministério da Economia e com a Casa Civil para obter a liberação integral dos recursos 
2,Ministério da Educação autoriza a oferta de mais de 340 mil novas vagas em cursos técnicos,https://www.gov.br/mec/pt-br/assuntos/noticias/ministerio-da-educacao-autoriza-a-oferta-de-mais-de-340-mil-novas-vagas-em-cursos-tecnicos,14/12/2022 ,"Ao todo, 116 Instituições Privadas de Ensino Superior já podem oferecer mais de 300 cursos de educação profissional técnica de nível médio. "
3,MEC marca presença na cúpula de estudantes latino-americanos de TIC realizada pela Huawei,https://www.gov.br/mec/pt-br/assuntos/noticias/mec-marca-presenca-na-cupula-de-estudantes-latino-americanos-de-tic-realizada-pela-huawei,14/12/2022 ,"Durante o evento, o MEC divulgou o início da elaboração da Política Nacional de Educação Digital para ampliar a formação em Tecnologia da Informação e Comunicação (TIC) "
4,Dia Nacional da Pessoa com Deficiência Visual é comemorado em 13 de dezembro,https://www.gov.br/mec/pt-br/assuntos/noticias/dia-nacional-da-pessoa-com-deficiencia-visual-e-comemorado-em-13-de-dezembro,13/12/2022 ,Conheça as principais iniciativas do MEC na área 
5,Ministério da Educação apresenta os resultados do Programa Nacional das Escolas Cívico-Militares,https://www.gov.br/mec/pt-br/assuntos/noticias/ministerio-da-educacao-apresenta-os-resultados-do-programa-nacional-das-escolas-civico-militares,13/12/2022 ,"Na ocasião, também foram lançados o Memorial de Gestão e o Caderno de Replanejamento "
6,MEC lança estudo sobre mapeamento da adequação docente no Brasil nos últimos sete anos,https://www.gov.br/mec/pt-br/assuntos/noticias/mec-lanca-estudo-sobre-mapeamento-da-adequacao-docente-no-brasil-nos-ultimos-sete-anos,12/12/2022 ,Estudo possibilita monitorar o nível da formação docente de 2013 a 2021 e subsidiará a elaboração de políticas de capacitação e valorização de professores 
7,Programa Brasil Alfabetizado lança Formação em Matemática Básica,https://www.gov.br/mec/pt-br/assuntos/noticias/programa-brasil-alfabetizado-lanca-formacao-em-matematica-basica,09/12/2022 ,Iniciativa do MEC foi elaborada pelo Instituto Nacional de Educação de Singapura 
8,"No Dia Nacional da Criança com Deficiência (9), MEC disponibiliza novos cursos para Educação Especial",https://www.gov.br/mec/pt-br/assuntos/noticias/no-dia-nacional-da-crianca-com-deficiencia-9-mec-disponibiliza-novos-cursos-para-educacao-especial,09/12/2022 ,"Além dos onze cursos autoinstrucionais a distância, já disponibilizados na plataforma virtual de aprendizagem Avamec, foram abertas as inscrições para três novos cursos. Confira "
9,MEC oferece 100 mil vagas para curso de formação de preceptores para educação em saúde,https://www.gov.br/mec/pt-br/assuntos/noticias/mec-e-ufma-lancam-curso-gratuito-e-autoinstrucional-destinado-a-qualificacao-de-preceptores-em-saude,08/12/2022 ,"Entre o público abrangente da capacitação, estão profissionais da saúde envolvidos no ensino de graduação e pós-graduação"
10,MEC disponibiliza guia Família-Escola para capacitar educadores e gestores,https://www.gov.br/mec/pt-br/assuntos/noticias/mec-disponibiliza-guia-familia-escola-para-capacitar-educadores-e-gestores,08/12/2022 ,"Pensando na relevância do papel da família para o desenvolvimento das crianças de todo o Brasil, o Ministério da Educação, por meio da Secretária de Alfabetização, disponibilizou o guia ""Parceria Família-Escola: benefícios, desafios e proposta de ação"""
11,MEC celebra os 15 anos do Programa Saúde na Escola,https://www.gov.br/mec/pt-br/assuntos/noticias/mec-celebra-os-15-anos-do-programa-saude-na-escola,08/12/2022 ,A iniciativa é desenvolvida conjuntamente pelos ministérios da Saúde e Educação com o objetivo de proporcionar melhoria da qualidade de vida dos estudantes brasileiros 
12,Secretarias de Educação de todo o país têm até amanhã para indicarem as escolas ao PPIE,https://www.gov.br/mec/pt-br/assuntos/noticias/secretarias-de-educacao-de-todo-o-pais-tem-ate-amanha-para-indicarem-as-escolas-ao-ppie,07/12/2022 ,"Para participar do Programa e receber apoio financeiro, as escolas públicas devem ofertar educação infantil, bem como ter 70% ou mais de estudantes oriundos de famílias beneficiárias do Programa Auxílio Brasil "
13,Ministério da Educação promove plenária da Comissão Nacional de Residência Médica,https://www.gov.br/mec/pt-br/assuntos/noticias/ministerio-da-educacao-promove-plenaria-da-comissao-nacional-de-residencia-medica,07/12/2022 ,"Entre os temas debatidos, estão o reconhecimento de certificados de residência médica cursada no exterior e aprimoramento da regulação da área "
14,2ª Semana Nacional da Educação Profissional e Tecnológica apresenta projetos e pesquisas das instituições,https://www.gov.br/mec/pt-br/assuntos/noticias/2a-semana-nacional-da-educacao-profissional-e-tecnologica-auxilia-alunos-a-decidirem-sobre-o-futuro,07/12/2022 ,"Evento do Ministério da Educação possibilitou que muitos jovens pudessem ampliar seu conhecimento a respeito de pesquisas, estudos e produtos desenvolvidos pelas instituições da Educação Profissional e Tecnológica "
15,Brasil participa de Assembleia Geral da OEI na República Dominicana,https://www.gov.br/mec/pt-br/assuntos/noticias/brasil-participa-de-assembleia-geral-da-oei-na-republica-dominicana,07/12/2022 ,Ministério da Educação participou da Conferência Ibero-americana da SEGIB
16,Abertas as inscrições para pós-graduação de profissionais da educação na Irlanda,https://www.gov.br/mec/pt-br/assuntos/noticias/abertas-as-inscricoes-para-pos-graduacao-de-profissionais-da-educacao-na-irlanda,07/12/2022 ,São 30 vagas disponibilizadas. Interessados devem se inscrever no Sistema de Inscrições da Capes 
17,Aberto edital para Mestrado Profissional em Políticas Públicas em Saúde,https://www.gov.br/mec/pt-br/assuntos/noticias/aberto-edital-para-mestrado-profissional-em-politicas-publicas-em-saude,07/12/2022 ,"As inscrições podem ser realizadas entre os dias 12 e 18 de dezembro, no site da Fiocruz "
18,Professores alfabetizadores brasileiros trocam experiência com Portugal,https://www.gov.br/mec/pt-br/assuntos/noticias/professores-alfabetizadores-brasileiros-trocam-experiencia-com-portugal,06/12/2022 ,"A iniciativa teve como objetivo promover a capacitação de profissionais da educação que atuam na área de alfabetização, por meio do curso de aperfeiçoamento "
19,CAPES divulga aprovados para bolsas na Alemanha,https://www.gov.br/mec/pt-br/assuntos/noticias/capes-divulga-aprovados-para-bolsas-na-alemanha,06/12/2022 ,Vagas da chamada 18 do programa de pesquisa são para pós-doutorado e professores experientes
